,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
876,4243911,K01337.01,Kepler-821 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.072541960346444,4.693e-06,-4.693e-06,4.90898448156572,0.00199,-0.00199,0.03536714383729131,0.439,-0.036,1.050961475192104,0.0654,-0.0654,5.563370320939456,10.2,-10.2,0.8241754429663494,0.11,-0.05,7.103322062526113,,,6.245020904830387,122.17,-70.37,3.4372078191851885,1.0,q1_q17_dr25_tce,5194.0,72.0,-83.0,4.559,0.022,-0.072,0.596085467716814,0.067,-0.033,285.61746,39.379532,14.829
877,4466677,K01338.01,Kepler-822 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.4405399312745322,9.285e-06,-9.285e-06,5.1877773492893455,0.0023,-0.0023,0.28517894223366236,0.136,-0.33,1.367289915192193,0.079,-0.079,5.454038241544812,8.4,-8.4,0.9042181506398859,0.4,-0.21,7.122866658599083,,,6.327311588335276,446.54,-197.63,3.475067230228611,1.0,q1_q17_dr25_tce,5823.0,157.0,-174.0,4.427,0.101,-0.188,0.6729444732424258,0.261,-0.14,292.27612,39.550179,14.609
878,4466677,K01338.02,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,3.7620617490320827,0.0004278,-0.0004278,5.188781814207707,0.00748,-0.00748,0.5140205146625099,0.002,-0.517,1.9854055497532417,0.22,-0.22,5.5902404332570725,18.3,-18.3,0.9783261227936076,0.45,-0.24,6.269096283706261,,,2.9528247725427144,14.52,-6.42,2.7536607123542622,2.0,q1_q17_dr25_tce,5823.0,157.0,-174.0,4.427,0.101,-0.188,0.6729444732424258,0.261,-0.14,292.27612,39.550179,14.609
879,4466677,K01338.03,,CANDIDATE,CANDIDATE,0.754,0,0,0,0,3.09155172365818,0.0002907,-0.0002907,4.895101726488463,0.0115,-0.0115,0.6168059473032227,0.016,-0.598,1.7060200102803444,0.319,-0.319,5.103518288242969,17.0,-17.0,0.8754687373538999,0.38,-0.2,6.498282149476434,,,3.845669504878125,36.61,-16.2,2.4159137783010487,3.0,q1_q17_dr25_tce,5823.0,157.0,-174.0,4.427,0.101,-0.188,0.6729444732424258,0.261,-0.14,292.27612,39.550179,14.609
880,4135665,K01339.01,Kepler-823 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.6425086744996438,1.602e-05,-1.602e-05,4.911891432615162,0.0029,-0.0029,0.5359084041334539,0.021,-0.512,1.3372091534293993,0.0982,-0.0982,5.575949103146316,11.7,-11.7,1.1878434223960523,0.35,-0.44,7.15305163493748,,,6.445291156094025,256.92,-238.49,3.3214324131932926,1.0,q1_q17_dr25_tce,5689.0,77.0,-77.0,4.202,0.162,-0.108,0.8385453832493021,0.204,-0.25,284.58255,39.220211,14.801
883,9157908,K01400.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.3432231243541164,2.298e-05,-2.298e-05,4.9651451987050335,0.00187,-0.00187,0.7645371766466182,14.56,-0.077,1.7467621032973193,0.102,-0.102,6.182911011678937,10.2,-10.2,3.012097627640255,6.22,-2.07,6.870053411798126,,,5.316059048024194,187.35,-60.97,4.028916756899646,1.0,q1_q17_dr25_tce,6406.0,158.0,-206.0,4.436,0.067,-0.216,0.7095125346462096,0.332,-0.111,293.17416,45.521229,13.66
885,9034103,K01402.01,Kepler-832 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.096752961877145,2.9e-05,-2.9e-05,4.928604366778859,0.00348,-0.00348,0.02664193094642118,0.425,-0.027,1.6056306740911463,0.109,-0.109,6.242028693998184,21.4,-21.4,1.1755733298042381,0.65,-0.26,6.873163834212518,,,5.328992050815955,180.35,-65.83,3.3603753871419,1.0,q1_q17_dr25_tce,6014.0,190.0,-211.0,4.486,0.048,-0.192,0.6896410412306576,0.286,-0.114,295.92609,45.383862,15.906
886,9214942,K01403.01,Kepler-833 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.983391558196843,5.267e-05,-5.267e-05,4.960865049805166,0.00226,-0.00226,0.03343477608623739,0.432,-0.034,1.3945353110214689,0.0764,-0.0764,6.90404841705081,34.4,-34.4,0.9820784724121582,0.13,-0.18,5.948034989180646,,,1.7967470107390942,1.8,-1.69,3.5322256440685598,1.0,q1_q17_dr25_tce,3976.0,159.0,-177.0,4.721,0.054,-0.041,0.43178241642553783,0.042,-0.058,290.47995,45.6007,15.473
887,3858704,K01211.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,1.3872019965941664,1.364e-05,-1.364e-05,4.9173591708622055,0.00424,-0.00424,0.5463857991645416,0.0,-0.537,1.5543479461161405,0.111,-0.111,4.626931677769604,3.2,-3.2,0.8878912573524571,0.24,-0.24,7.360103972989152,,,7.2740914030631085,643.09,-494.12,3.676300671907076,1.0,q1_q17_dr25_tce,6309.0,88.0,-75.0,4.217,0.149,-0.108,0.8415671856782186,0.224,-0.224,293.64841,38.976021,12.476
888,3749134,K01212.01,Kepler-792 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,2.509699286644071,7.531e-05,-7.531e-05,4.912055809266749,0.00483,-0.00483,0.11064652008706366,0.329,-0.117,1.6138282607353933,0.142,-0.142,5.627980761239919,16.6,-16.6,1.0473189942805592,0.28,-0.23,6.748759547491679,,,4.831668105114875,49.34,-33.76,2.970414465569701,1.0,q1_q17_dr25_tce,5730.0,77.0,-77.0,4.34,0.11,-0.11,0.7523590401917915,0.169,-0.138,292.00681,38.820728,14.981
