,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,7.476494408735566,1.67708897,-1.87256063,0.0,1.3278887286495673,0.110517,-0.118828,0.0,2.6100697927420065,,,0.0,1.12,,,0.0,7.858542679414788,492.67126,-308.97002,0.0,2.212530180053159,1.55012,-0.97213,0.0,Mass,0.31677158983912956,0.008388,-0.00603,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 V,5338.0,25.0,-25.0,0.0,0.6575200029167942,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,[Fe/H],4.45,0.02,-0.02,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,2.940869458104803,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
6,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,6.902038971986028,3.2,-3.2,0.0,1.2809338454620642,,,0.0,2.6026896854443837,,,0.0,1.11,,,0.0,8.093920464658108,,,0.0,2.424802725718295,,,0.0,Msini,0.07696104113612832,0.01,-0.01,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G6 III,4979.0,18.0,-18.0,0.0,2.2512917986064953,,,0.0,2.3,,,0.0,-0.052,0.023,-0.023,0.0,[Fe/H],2.82,0.06,-0.06,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,4.34668439052659,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
9,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,6.117656572345742,2.1,-4.5,0.0,0.8471549930392929,0.004,-0.009,0.0,2.667228206581955,,,0.0,1.19,,,0.0,6.451196856489088,82.63,-120.77,0.0,1.095273387402595,0.26,-0.38,0.0,Msini,0.08617769624105233,0.14,-0.06,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,1.7749523509116738,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.291405568770929,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
10,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,6.784457062637643,32.4,-13.8,0.0,1.1249295969854831,0.05,-0.02,0.0,2.7013612129514133,,,0.0,1.24,,,0.0,5.614295308154665,111.24,-69.92,0.0,0.6205764877251099,0.35,-0.22,0.0,Msini,0.2546422183735807,0.16,-0.09,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,1.7749523509116738,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.291405568770929,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,11.347038282562409,,,,2.772588722239781,,,0.0,2.6100697927420065,,,0.0,1.13,,,0.0,7.7767866743720315,794.5,-794.5,0.0,2.1400661634962708,2.5,-2.5,0.0,Mass,0.07011455648048513,,,,6.044189272017143,,,,6.820115242834518,,,,0,M8.5,2936.0,182.0,-182.0,0.0,0.20701416938432612,0.01,-0.01,0.0,0.02,,,0.0,0.009605241264559068,,,,,5.01,0.0,0.0,0.0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,4.799288445598697,5.4783417,-5.4783417,12.691995611621406,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,0,8.900753464136352,1934.5,-584.0,0.0,2.085603399420442,,,,2.425687290128029,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,8.803646509258181,26629.91,-6657.48,0.0,3.08876713952118,83.79,-20.95,0.0,Mass,0.23111172096338664,0.06,-0.06,0.0,6.044189272017143,,,,7.638198244285779,70.0,-70.0,0.0,0,M8.5,2300.0,80.0,-80.0,0.0,0.11332868530700317,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,0.009605241264559068,,,,,5.22,0.05,-0.05,0.0,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,3.5297573899076116,0.4759328,-0.4759328,12.691995611621406,,,11.826,0.031,-0.031,17.3961,0.004861,-0.004861
20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,5.817408764484109,2.5,-2.5,0.0,0.688134638736401,0.02,-0.02,0.0,2.5877640352277083,,,0.0,1.1,,,0.0,8.387861106487149,572.094,-572.094,0.0,2.695977619867941,1.8,-1.8,0.0,Msini,0.2546422183735807,0.09,-0.09,0.0,6.044189272017143,,,,6.820115242834518,,,,0,F6 V,6331.0,61.0,-61.0,0.0,0.8796267475025636,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],4.43,0.05,-0.05,0.0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,3.821156935920772,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,6.983789965258135,2.0,-2.0,0.0,1.1314021114911006,0.02,-0.02,0.0,2.653241964607215,,,0.0,1.18,,,0.0,6.690941651362797,22.25,-19.07,0.0,1.2612978709452054,0.07,-0.06,0.0,Msini,0.03149866705937099,0.014,-0.014,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G0 V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,7.779885115070522,100.0,-87.0,0.0,1.5260563034950494,0.1,-0.1,0.0,2.7212954278522306,,,0.0,1.27,,,0.0,5.151098439846218,20.976,-23.201,0.0,0.43178241642553783,0.066,-0.073,0.0,Msini,0.09349034308733889,0.047,-0.096,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G1 V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
25,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,9.547026871355778,4018.0,-5095.0,0.0,2.533696813957432,2.1,-2.9,0.0,2.6741486494265287,,,0.0,1.2,,,0.0,6.2580889550337275,92.17,-152.55,0.0,0.9707789171582247,0.29,-0.48,0.0,Msini,0.14842000511827327,0.09,-0.16,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G0V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
26,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,9.366403507607771,6209.25,-3287.25,0.0,2.653241964607215,0.2,-0.2,0.0,2.667228206581955,,,0.0,1.19,,,0.0,6.456235761113554,,,0.0,1.0986122886681098,,,0.0,Mass,0.37156355643248307,0.1,-0.15,0.0,6.044189272017143,,,,6.55250788703459,,,0.0,0,F0 IV,7295.0,120.09,-98.99,0.0,0.9122827104766162,0.05,-0.06,0.0,1.75,0.05,-0.05,0.0,-0.027,0.045,-0.045,0.0,[M/H],4.31,0.09,-0.07,0.0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,3.426133866952187,0.1213,-0.1203,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075
27,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,1.6545613624159081,3.6e-05,-3.6e-05,0.0,0.05135829227514207,0.003,-0.003,0.0,2.72785282839839,,,0.0,1.27,,,0.0,4.991804434480881,19.0698,-3.1783,0.0,0.37843643572024505,0.06,-0.01,0.0,Mass,0.012916225266546328,0.012,-0.012,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G5V,5758.0,101.62,-119.62,0.0,0.7793248768009976,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,[M/H],4.31,0.08,-0.06,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,2.801018246309987,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768
28,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,2.7505731481821005,0.0001,-0.0001,0.0,0.10741839676727034,0.0006,-0.0006,0.0,2.7013612129514133,,,0.0,1.24,,,0.0,5.579648690619366,1.0488,-1.0488,0.0,0.604643781968542,0.0033,-0.0033,0.0,Mass,0.0,0.01,-0.01,0.0,6.044189272017143,,,,6.55250788703459,,,0.0,0,K0 IV-V,5172.0,18.0,-18.0,0.0,0.6626879730752367,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,2.609003047500976,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
29,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,3.8154878756788837,0.0042,-0.0043,0.0,0.212931586237793,0.0013,-0.0013,0.0,2.252343876557299,,,0.0,0.76,,,0.0,4.0159108372192165,1.748,-1.748,0.0,0.15819961467354485,0.0055,-0.0055,0.0,Mass,0.0295588022415444,0.02,-0.02,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.6626879730752367,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,2.609003047500976,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
30,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,8.626083470124309,93.8,-88.6,0.0,1.9397483469415042,0.074,-0.071,0.0,2.6390573296152584,,,0.0,1.16,,,0.0,7.117605261044513,21.612,-21.612,0.0,1.5847352997937285,0.068,-0.068,0.0,Mass,0.12221763272424921,0.02,-0.02,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G8 V,5172.0,18.0,-18.0,0.0,0.6626879730752367,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,2.609003047500976,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
31,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.5518988891150868,1.3e-06,-1.4e-06,0.0,0.015322016097784677,5e-05,-5e-05,0.0,1.0560526742493137,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,2.196112848483529,0.32,-0.33,0.0,0.02482918862929335,0.00101,-0.00104,0.0,Mass,0.04879016416943201,0.03,-0.03,0.0,7.885641455389464,,,0.0,7.580189417944541,15.0,-15.0,0.0,0,G8 V,5172.0,18.0,-18.0,0.0,0.6626879730752367,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,2.609003047500976,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
32,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,5.564060531481064,0.29,-0.29,0.0,0.5714314218758489,0.0043,-0.0044,0.0,2.150598735996164,,,0.0,0.677,,,0.0,3.8245460655354697,3.814,-3.814,0.0,0.13190507087993858,0.012,-0.012,0.0,Mass,0.07696104113612832,0.05,-0.04,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G8V,5172.0,18.0,-18.0,0.0,0.6626879730752367,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,2.609003047500976,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
33,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,6.840867333440506,8.6,-8.6,0.0,1.1346227261911428,0.11,-0.11,0.0,2.667228206581955,,,0.0,1.19,,,0.0,6.46121548818075,24.47291,-24.47291,0.0,1.1019400787607843,0.077,-0.077,0.0,Msini,0.07045846364856141,0.036,-0.036,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 IV,4938.0,,,0.0,1.824549292051046,,,0.0,1.44,,,0.0,-0.13,0.02,-0.02,0.0,[Fe/H],3.19,,,0.0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,4.019259959473781,0.2734,-0.2734,5.87307,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085
34,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,1.6515390884527357,0.0006,-0.0006,0.0,0.04898157442074956,5e-06,-5e-06,0.0,1.1346227261911428,,,0.0,0.188,,,0.0,1.8082887711792655,0.5,-0.5,0.0,0.01587334915629015,0.002,-0.002,0.0,Msini,0.11332868530700317,0.11,-0.11,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.6729444732424258,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.251641211239001,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
35,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,3.6640999627497135,0.034,-0.034,0.0,0.19679957597460782,0.0001,-0.0001,0.0,1.6974487897568136,,,0.0,0.398,,,0.0,2.954910279033736,1.1,-1.1,0.0,0.055434706888100586,0.003,-0.003,0.0,Msini,0.1310282624064041,0.06,-0.06,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.6729444732424258,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.251641211239001,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
36,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.820362207514681,0.55,-0.55,0.0,0.38933572617828077,0.001,-0.001,0.0,1.809926773183504,,,0.0,0.456,,,0.0,3.173878458937465,2.6,-2.6,0.0,0.06952606264861023,0.008,-0.008,0.0,Msini,0.30010459245033805,0.09,-0.09,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G5 V,5577.0,33.0,-33.0,0.0,0.6729444732424258,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,2.251641211239001,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701
37,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,6.60136597906466,14.8,-1.0,0.0,1.01450577937111,0.024,-0.001,0.0,2.667228206581955,,,0.0,1.2,,,0.0,6.378401565351955,19.0698,-19.0698,0.0,1.0473189942805592,0.06,-0.06,0.0,Msin(i)/sin(i),0.058268908123975775,0.03,-0.03,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K1 III,4826.0,45.0,-55.0,0.0,1.7698546338400052,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,3.035438445776025,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
38,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,6.904750769961838,1.5,-52.4,0.0,1.1483543805629237,0.003,-0.08,0.0,2.7013612129514133,,,0.0,1.24,,,0.0,5.625864535839483,19.0698,-19.0698,0.0,0.6259384308664953,0.06,-0.06,0.0,Msin(i)/sin(i),0.07696104113612832,0.05,-0.04,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K1III(+M),4826.0,45.0,-55.0,0.0,1.7698546338400052,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,[Fe/H],3.19,0.06,-0.07,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,3.035438445776025,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
39,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,4.768037054947911,0.0054,-0.0054,0.0,0.3927175352856617,0.022,-0.022,0.0,2.6100697927420065,,,0.0,1.13,,,0.0,7.7754648248494025,193.87,-193.87,0.0,2.138889000323256,0.61,-0.61,0.0,Mass,0.3356147262070837,0.0019,-0.0019,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G5V,5495.0,,,0.0,1.0612565021243408,,,0.0,1.09,,,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],3.95,,,0.0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,2.939220121430182,0.056,-0.0557,4.96808,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158
46,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,2.247389362418831,,,0.0,0.06250520535139711,0.0013,-0.0013,0.0,1.623340817603092,0.17,-0.17,0.0,0.363,0.015,-0.015,0.0,3.050220458838061,1.57,-1.72,0.0,0.061377279674903425,0.00494,-0.00541,0.0,Mass,0.1705863005755337,0.036,-0.035,0.0,4.35208275830081,,,0.0,6.386879319362645,21.0,-21.0,0.0,1,M1,3588.0,87.0,-87.0,0.0,0.5306282510621704,0.02,-0.02,0.0,0.5,0.03,-0.03,0.0,0.009605241264559068,,,,,4.39,0.03,-0.03,0.0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,2.3723070319800215,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
47,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.9886568516869,,,0.0,0.10445010135646442,0.002,-0.002,0.0,1.4445632692438664,0.16,-0.16,0.0,0.289,0.014,-0.014,0.0,2.3608540011180215,2.07,-2.31,0.0,0.029752958149347798,0.00651,-0.00727,0.0,Mass,0.04018178963283184,0.047,-0.026,0.0,6.044189272017143,,,,6.12029741895095,16.0,-16.0,0.0,0,M1,3700.0,100.0,-100.0,0.0,0.5596157879354227,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,0.009605241264559068,,,,,4.39,0.03,-0.03,0.0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,2.3723070319800215,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
49,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,5.5981997120811355,0.99,-0.99,0.0,0.5766133643039938,0.05,-0.05,0.0,2.6946271807700692,,,0.0,1.23,,,0.0,5.80375811787751,149.3801,-149.3801,0.0,0.712949807856125,0.47,-0.47,0.0,Msini,0.2546422183735807,0.03,-0.03,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K2 V,4864.0,101.0,-101.0,0.0,0.6205764877251099,0.04,-0.04,0.0,0.49,0.33,-0.33,0.0,0.17,,,0.0,[Fe/H],4.26,0.29,-0.29,0.0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,3.919038340322051,0.0846,-0.0844,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253
55,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,3.753859284110427,0.003,-0.003,0.0,0.21591750622247016,0.019,-0.017,0.0,1.2748039850865274,0.112,-0.112,0.0,0.23,0.01,-0.01,0.0,3.1462234082639617,9.5349,-9.5349,0.0,0.06765864847381481,0.03,-0.03,0.0,Mass,0.0,,,0.0,6.044189272017143,,,,6.304448802421981,19.0,-18.0,0.0,0,G,5766.0,99.0,-99.0,0.0,0.7323678937132266,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.15,,,0.0,[Fe/H],4.5,0.08,-0.08,0.0,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,5.195514687945216,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249
56,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,5.7329528519559805,1.47,-1.47,0.0,0.6043159668533296,0.04,-0.04,0.0,2.681021528714291,,,0.0,1.21,,,0.0,6.071307150146537,38.13941,-38.13941,0.0,0.8586616190375187,0.12,-0.12,0.0,Msini,0.11332868530700317,0.06,-0.06,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K1,5004.0,50.0,-50.0,0.0,0.5933268452777344,0.04,-0.04,0.0,0.81,0.07,-0.07,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],4.22,0.13,-0.13,0.0,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,4.000436731999134,0.1919,-0.1905,9.67,0.03,-0.03,7.557,0.024,-0.024,9.41266,0.000255,-0.000255
59,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,7.85979918056211,300.0,-180.0,0.0,1.6486586255873816,0.32,-0.2,0.0,2.6741486494265287,,,0.0,1.21,,,0.0,6.23342985266278,127.1,-63.6,0.0,0.9555114450274363,0.4,-0.2,0.0,Msini,0.30010459245033805,0.24,-0.1,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0,4943.0,30.0,-30.0,0.0,2.151762203259462,1.3,-1.3,0.0,1.52,0.22,-0.22,0.0,-0.19,0.06,-0.06,0.0,[Fe/H],2.85,0.09,-0.09,0.0,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,6.09366457367754,7.654,-7.654,9.381,0.005,-0.005,6.571,0.021,-0.021,9.02851,0.000235,-0.000235
60,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,5.58571189766377,1.04,-1.04,0.0,0.5766133643039938,0.05,-0.05,0.0,2.70805020110221,,,0.0,1.25,,,0.0,5.437367969024428,25.42627,-25.42627,0.0,0.5423242908253617,0.08,-0.08,0.0,Msini,0.23901690047049992,0.06,-0.06,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K3,5012.0,78.0,-78.0,0.0,0.6418538861723948,0.06,-0.04,0.0,0.91,0.1,-0.1,0.0,0.18,0.05,-0.05,0.0,[Fe/H],4.09,0.16,-0.16,0.0,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,3.9809836097278506,0.0974,-0.0971,9.38,0.03,-0.03,7.331,0.021,-0.021,9.15305,0.000163,-0.000163
64,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,1.5836687205401379,0.0004,-0.0004,0.0,0.04190940307720961,0.0007,-0.0007,0.0,1.3480731482996928,,,0.0,0.254,,,0.0,2.2512917986064953,1.3,-1.3,0.0,0.02664193094642118,0.004,-0.004,0.0,Msini,0.0,,,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K7/M0 V,4324.0,100.0,-100.0,0.0,0.5247285289349821,0.06,-0.07,0.0,0.7,,,0.0,-0.14,0.17,-0.17,0.0,[Fe/H],4.74,0.02,-0.02,0.0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,3.0572741216485864,0.022,-0.0218,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602
65,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,4.843714533878324,0.44,-0.44,0.0,0.3611648492115844,0.007,-0.007,0.0,2.238579763018133,,,0.0,0.747,,,0.0,3.9889840465642745,8.0,-8.0,0.0,0.15700374880966475,0.03,-0.03,0.0,Msini,0.27002713721306015,0.11,-0.11,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K7/M0 V,4324.0,100.0,-100.0,0.0,0.5247285289349821,0.06,-0.07,0.0,0.7,,,0.0,-0.14,0.17,-0.17,0.0,[Fe/H],4.74,0.02,-0.02,0.0,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,3.0572741216485864,0.022,-0.0218,9.7,0.03,-0.03,6.305,0.018,-0.018,9.10677,0.000602,-0.000602
