,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3547,Kepler-341 b,Kepler-341,1,4,Transit,2014,Kepler,0,1.8238277414734467,5.3e-05,-5.3e-05,0.0,0.058268908123975775,,,0.0,0.7793248768009976,0.62,-0.62,0.0,0.105,0.055,-0.055,0.0,1.0152306797290587,,,0.0,0.0055147656880240505,,,0.0,M-R relationship,0.0,,,0.0,6.047608557726022,19.46,-18.49,0.0,6.990256500493881,,,0.0,0,,6012.0,200.0,-200.0,0.0,0.7030975114131134,0.52,-0.52,0.0,1.0,0.05,-0.05,0.0,0.14,0.15,-0.15,0.0,[Fe/H],4.44,0.3,-0.3,0.0,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,6.9546674904254715,20.51,-19.76,14.739,0.137,-0.137,12.994,0.026,-0.026,14.5672,0.000253,-0.000253
3548,Kepler-341 c,Kepler-341,1,4,Transit,2014,Kepler,0,2.1983805755793764,4.9e-05,-4.9e-05,0.0,0.07696104113612832,,,0.0,0.9932517730102833,0.86,-0.86,0.0,0.152,0.077,-0.077,0.0,1.5107219394949427,,,0.0,0.011038847115216341,,,0.0,M-R relationship,0.0,,,0.0,5.474075766200316,10.95,-10.4,0.0,6.846943139585379,,,0.0,0,,6012.0,200.0,-200.0,0.0,0.7030975114131134,0.52,-0.52,0.0,1.0,0.05,-0.05,0.0,0.14,0.15,-0.15,0.0,[Fe/H],4.44,0.3,-0.3,0.0,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,6.9546674904254715,20.51,-19.76,14.739,0.137,-0.137,12.994,0.026,-0.026,14.5672,0.000253,-0.000253
3549,Kepler-341 d,Kepler-341,1,4,Transit,2014,Kepler,0,3.3557226702999916,0.000297,-0.000297,0.0,0.16720791898390647,,,0.0,1.0473189942805592,0.94,-0.94,0.0,0.165,0.084,-0.084,0.0,1.6253112615903906,,,0.0,0.012718772407774689,,,0.0,M-R relationship,0.0,,,0.0,3.837730400846291,2.09,-1.99,0.0,6.434546518787453,,,0.0,0,,6012.0,200.0,-200.0,0.0,0.7030975114131134,0.52,-0.52,0.0,1.0,0.05,-0.05,0.0,0.14,0.15,-0.15,0.0,[Fe/H],4.44,0.3,-0.3,0.0,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,6.9546674904254715,20.51,-19.76,14.739,0.137,-0.137,12.994,0.026,-0.026,14.5672,0.000253,-0.000253
3550,Kepler-341 e,Kepler-341,1,4,Transit,2014,Kepler,0,3.7721462434614703,0.000633,-0.000633,0.0,0.21672298351128702,,,0.0,1.095273387402595,1.03,-1.03,0.0,0.178,0.092,-0.092,0.0,1.7263316639055997,,,0.0,0.014395880283732383,,,0.0,M-R relationship,0.0,,,0.0,3.283539338193923,1.18,-1.12,0.0,6.29156913955832,,,0.0,0,,6012.0,200.0,-200.0,0.0,0.7030975114131134,0.52,-0.52,0.0,1.0,0.05,-0.05,0.0,0.14,0.15,-0.15,0.0,[Fe/H],4.44,0.3,-0.3,0.0,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,6.9546674904254715,20.51,-19.76,14.739,0.137,-0.137,12.994,0.026,-0.026,14.5672,0.000253,-0.000253
3551,Kepler-342 b,Kepler-342,1,4,Transit,2014,Kepler,0,2.7831773394438786,5.9e-05,-5.9e-05,0.0,0.12044615307586715,,,0.0,1.1786549963416462,0.4,-0.4,0.0,0.201,0.036,-0.036,0.0,1.900613874140137,,,0.0,0.017741681476157102,,,0.0,M-R relationship,0.0,,,0.0,5.0830179692568755,5.06,-4.91,0.0,6.80903930604298,,,0.0,0,,6175.0,100.0,-100.0,0.0,0.9042181506398859,0.26,-0.26,0.0,1.26,0.05,-0.04,0.0,-0.001,0.012,-0.012,0.0,[M/H],4.19,0.15,-0.15,0.0,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,6.662635765389262,9.729,-9.498,13.2,0.08,-0.08,11.957,0.021,-0.021,13.0992,0.000257,-0.000257
3552,Kepler-342 c,Kepler-342,1,4,Transit,2014,Kepler,0,3.304471259884963,0.000163,-0.000163,0.0,0.16974277458709452,,,0.0,1.085189268335969,0.35,-0.35,0.0,0.175,0.031,-0.031,0.0,1.7047480922384253,,,0.0,0.014100124378781637,,,0.0,M-R relationship,0.0,,,0.0,4.360419880919823,2.44,-2.37,0.0,6.626717749249025,,,0.0,1,,6175.0,100.0,-100.0,0.0,0.9042181506398859,0.26,-0.26,0.0,1.26,0.05,-0.04,0.0,-0.001,0.012,-0.012,0.0,[M/H],4.19,0.15,-0.15,0.0,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,6.662635765389262,9.729,-9.498,13.2,0.08,-0.08,11.957,0.021,-0.021,13.0992,0.000257,-0.000257
3553,Kepler-342 d,Kepler-342,1,4,Transit,2014,Kepler,0,3.700297939374068,0.000375,-0.000375,0.0,0.21672298351128702,,,0.0,1.2499017362143359,0.48,-0.48,0.0,0.222,0.043,-0.043,0.0,2.048982334195127,,,0.0,0.021076325601916215,,,0.0,M-R relationship,0.0,,,0.0,3.8249388985210326,1.42,-1.37,0.0,6.490723534502507,,,0.0,1,,6175.0,100.0,-100.0,0.0,0.9042181506398859,0.26,-0.26,0.0,1.26,0.05,-0.04,0.0,-0.001,0.012,-0.012,0.0,[M/H],4.19,0.15,-0.15,0.0,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,6.662635765389262,9.729,-9.498,13.2,0.08,-0.08,11.957,0.021,-0.021,13.0992,0.000257,-0.000257
3554,Kepler-342 e,Kepler-342,1,4,Transit,2016,Kepler,0,0.9723778692133949,6.21e-06,-6.21e-06,0.0,0.02887895955037667,,,0.0,0.6312717768418579,0.08,-0.06,0.0,0.079,0.007,-0.005,0.0,0.47933495667461984,,,0.0,0.0019281399428889604,,,0.0,M-R relationship,0.0,,,0.0,8.043123707775367,98.18,-95.25,0.0,7.5485559791698735,,,0.0,0,,6366.0,76.03,-66.63,0.0,0.8501509293696101,0.12,-0.08,0.0,1.26,0.05,-0.04,0.0,0.12,0.09,-0.091,0.0,[Fe/H],4.28,0.05,-0.06,0.0,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,6.662635765389262,9.729,-9.498,13.2,0.08,-0.08,11.957,0.021,-0.021,13.0992,0.000257,-0.000257
3555,Kepler-343 b,Kepler-343,1,2,Transit,2014,Kepler,0,2.2994351370879347,5.8e-05,-5.8e-05,0.0,0.08434114843375087,,,0.0,1.2267122912954254,0.51,-0.51,0.0,0.215,0.045,-0.045,0.0,2.0001277349601105,,,0.0,0.019900661706336167,,,0.0,M-R relationship,0.0,,,0.0,5.3330569003519335,10.12,-9.6,0.0,6.932447891572509,,,0.0,0,,5807.0,100.0,-100.0,0.0,0.8878912573524571,0.26,-0.26,0.0,1.08,0.07,-0.04,0.0,0.145,0.012,-0.012,0.0,[M/H],4.18,0.15,-0.15,0.0,19h27m50.56s,291.960662,+42d25m58.64s,42.4329567,6.833239685300509,18.808,-18.808,14.063,0.114,-0.114,12.683,0.028,-0.028,14.1102,0.000285,-0.000285
3556,Kepler-343 c,Kepler-343,1,2,Transit,2014,Kepler,0,3.1872538798104095,0.000234,-0.000234,0.0,0.15443635330441893,,,0.0,1.1052568313867783,0.38,-0.38,0.0,0.18,0.034,-0.034,0.0,1.747459210331475,,,0.0,0.014790085472635432,,,0.0,M-R relationship,0.0,,,0.0,4.076350298849822,2.85,-2.7,0.0,6.616065185132817,,,0.0,0,,5807.0,100.0,-100.0,0.0,0.8878912573524571,0.26,-0.26,0.0,1.08,0.07,-0.04,0.0,0.145,0.012,-0.012,0.0,[M/H],4.18,0.15,-0.15,0.0,19h27m50.56s,291.960662,+42d25m58.64s,42.4329567,6.833239685300509,18.808,-18.808,14.063,0.114,-0.114,12.683,0.028,-0.028,14.1102,0.000285,-0.000285
